grass_region,category_group,seller_type,shopee_item_id,shopee_model_id,competitor_item_id,competitor_model_id,shopee_model_price_usd,shopee_model_price,competitor_model_price,shopee_gmv_usd,shopee_order,shopee_model_competitiveness_status
ID,Electronics,Long Tail (LT),5646734211,3953474697,9153508336,992466002,50.33644918,779233,647903,8758.537644,174,Shopee > CPT
SG,FMCG,Long Tail (LT),3735125711,6296885988,3250973377,3554673425,60.00166879,81,94,11120.73712,187,Shopee < CPT
TH,Electronics,Non-Mall,2579813608,1304588577,4678400449,2635346813,18.06959021,659,675,3178.819563,176,Shopee < CPT
PH,FMCG,Long Tail (LT),8699492214,5735505766,9052147161,1100640033,16.02339471,906,861,560.4057684,35,Shopee > CPT
TH,FMCG,Long Tail (LT),4815010572,2537451514,1289693311,330522796,169.2981808,6177,7004,1523.659436,9,Shopee < CPT
ID,FMCG,Cross Border,2360234746,8873059029,4373636343,6388067669,304.8125177,4718650,4963058,51513.31352,169,Shopee < CPT
TH,Electronics,Non-Mall,9800132511,3580795314,8493800350,48609194,19.56659684,713,608,3869.2119,198,Shopee > CPT
ID,Lifestyle,Cross Border,4066670015,3392849992,6682615321,6466430183,40.37182675,624976,599679,7024.697135,174,Shopee > CPT
MY,Fashion,Cross Border,9831477701,281518001,8957608032,9867486733,8.315866319,38,34,1443.217581,178,Shopee > CPT
ID,Fashion,Cross Border,1803766116,9789480590,9161538993,6257218394,318.419406,4929291,4742978,19742.00071,62,Shopee > CPT
ID,FMCG,Mall,1234281420,1679483802,9265679840,4767229257,287.9275942,4457263,4971937,47220.12416,164,Shopee < CPT
TH,Electronics,Non-Mall,9473251059,3376251452,5358320180,4516817178,182.2856551,6650,6445,10024.25555,55,Shopee > CPT
ID,Electronics,Long Tail (LT),4122856018,9863435317,6059424808,3147181346,90.72816768,1404517,1680566,17329.07509,191,Shopee < CPT
MY,Fashion,Cross Border,6237367159,4649091553,8954884470,4018215748,40.25420201,188,174,6859.337494,171,Shopee > CPT
ID,Lifestyle,Mall,3799028368,7173795667,2341012093,8720480772,67.76676073,1049063,1258614,13214.51407,195,Shopee < CPT
VN,Lifestyle,Long Tail (LT),4119550293,3795401671,9773422333,2307363574,180.8408696,4399406,3927891,18264.92677,101,Shopee > CPT
ID,FMCG,Non-Mall,6542930691,1775280548,1930877770,1026468748,18.05815059,279549,241861,2925.4183,162,Shopee > CPT
ID,Lifestyle,Long Tail (LT),8409776064,437577722,1295736902,3819190689,36.98720624,572580,656679,5067.243306,137,Shopee < CPT
MY,Fashion,Mall,4527008742,851197014,6006278155,1637682945,104.927829,491,578,3876.246866,37,Shopee < CPT
PH,FMCG,Long Tail (LT),3632341535,9854080722,1356766059,7745376784,20.94193045,1184,1279,2301.710731,110,Shopee < CPT
ID,FMCG,Mall,4313002561,8639628362,3508945329,5961806038,143.5459786,2222163,2590064,3301.556733,23,Shopee < CPT
ID,Electronics,Non-Mall,5324283213,2521380657,6181248342,1145322261,298.5540375,4621765,5520366,56725.25758,190,Shopee < CPT
ID,FMCG,Cross Border,5374573406,1788252212,713202061,367623895,259.7240999,4020658,4769030,50646.18778,195,Shopee < CPT
ID,Fashion,Mall,2348519934,2494918914,4236396383,229163840,104.2637267,1614054,1319128,6568.612254,63,Shopee > CPT
SG,FMCG,Cross Border,3358399492,2879355718,5143855428,4996561514,2.314397073,3,2,59.46918248,27,Shopee > CPT
ID,Electronics,Cross Border,4413522882,9054586267,4428445173,8394028174,137.2373934,2124503,2499181,2744.747263,20,Shopee < CPT
TH,Electronics,Mall,3418397467,1081053321,5608995741,6137791306,23.18422317,845,961,4539.213134,196,Shopee < CPT
PH,Fashion,Mall,6658382472,4369572988,7713370565,870233289,138.3860892,7830,6365,5119.998586,37,Shopee > CPT
SG,Lifestyle,Cross Border,2526945267,6607345391,5680956956,1306576929,20.85824146,28,27,3145.258985,153,Shopee > CPT
PH,FMCG,Mall,5137440102,1409494249,239501338,8172295891,165.6225681,9371,9510,5962.038739,36,Shopee < CPT
ID,FMCG,Long Tail (LT),3810548128,8692304794,9364821289,1314991517,84.34743142,1305740,1183611,3795.633216,45,Shopee > CPT
ID,Lifestyle,Non-Mall,9632221638,1695405880,3491018540,3921066785,148.112019,2292848,2268606,14811.20119,100,Shopee > CPT
SG,Electronics,Long Tail (LT),7833494110,9057432001,8814963965,8585285046,15.74334938,21,23,2436.033919,158,Shopee < CPT
MY,Electronics,Non-Mall,41601002,2028884983,4636505634,4010060781,375.7566748,1761,2063,15029.60474,40,Shopee < CPT
PH,Fashion,Mall,4551148001,9112391019,8204390711,9934023025,15.33465466,867,874,1792.715255,117,Shopee < CPT
TH,Fashion,Mall,9546501277,5374226358,1267135540,64281435,164.638136,6007,5568,27164.97883,165,Shopee > CPT
TH,Lifestyle,Cross Border,9095336594,7395527310,658526650,6036022166,47.75717039,1742,2044,5538.267578,116,Shopee < CPT
MY,Electronics,Long Tail (LT),7486845831,443689846,5077305664,9247994398,14.34632814,67,72,400.2773777,28,Shopee < CPT
MY,Electronics,Long Tail (LT),5389735849,7830579719,6505321057,3028644515,179.6241889,841,960,6998.239718,39,Shopee < CPT
ID,Electronics,Non-Mall,1380966949,1125583387,720417613,7814708953,15.10013128,233757,271612,1887.511708,125,Shopee < CPT
ID,Fashion,Mall,4106484595,1329922297,7969037222,4288002595,290.2035435,4492495,5008621,870.6104454,3,Shopee < CPT
MY,FMCG,Long Tail (LT),5497612477,4107988725,9269093800,7485017769,96.8379743,453,414,16528.08449,171,Shopee > CPT
ID,Fashion,Cross Border,7980867821,5973845602,4379067935,629153040,116.7732444,1807708,1905330,10859.91047,93,Shopee < CPT
TH,Lifestyle,Non-Mall,875618740,6326579448,1408781070,1444120937,99.36487466,3625,4335,18082.03034,182,Shopee < CPT
SG,FMCG,Long Tail (LT),4844553885,582357824,1542033298,4163751196,343.8243466,468,468,11682.39051,34,Shopee = CPT
TH,Fashion,Non-Mall,2475083492,3173947586,7963973620,2160307456,33.17824759,1210,1262,2586.710153,78,Shopee < CPT
ID,FMCG,Long Tail (LT),796467854,4894625872,2230963569,7183473995,297.058343,4598611,5348296,54955.78534,185,Shopee < CPT
TH,Lifestyle,Mall,5316552214,752101832,4646029047,2559030865,65.1267507,2376,2669,12112.31551,186,Shopee < CPT
MY,Fashion,Non-Mall,6112155168,6986521360,1906514268,899616897,1.241739696,5,4,172.8276524,162,Shopee > CPT
PH,Electronics,Non-Mall,5882640254,7362524706,2350827042,8596515699,20.96177442,1186,1066,1236.639333,59,Shopee > CPT
VN,Electronics,Long Tail (LT),236878634,5975142185,4460089304,6113734896,96.55185252,2348865,2599659,4634.488542,48,Shopee < CPT
SG,Lifestyle,Mall,3862252605,9473843894,3034666237,7745212665,459.6972711,626,658,27576.08017,60,Shopee < CPT
MY,Fashion,Long Tail (LT),9485417884,9748213531,8646937319,6157317851,16.78076482,78,70,1947.191551,117,Shopee > CPT
ID,Lifestyle,Long Tail (LT),4434936160,8681467119,6550377065,9145378859,101.4066157,1569825,1416421,6895.649365,68,Shopee > CPT
ID,Lifestyle,Long Tail (LT),8884523002,3464764153,3179410912,2237877796,56.57254891,875771,1026070,2206.328542,39,Shopee < CPT
MY,Fashion,Non-Mall,2927004140,8803422186,4006479298,6538266980,214.3974698,1004,859,5998.186376,28,Shopee > CPT
PH,Electronics,Cross Border,4475466999,3231501596,428615325,8963301851,27.43802594,1552,1622,2413.685848,88,Shopee < CPT
ID,Lifestyle,Non-Mall,2808225931,5900329537,4675425130,953841232,12.04828351,186513,174917,1975.913698,164,Shopee > CPT
PH,Lifestyle,Mall,2908538387,9778201718,8119818591,7865939223,26.58577703,1504,1695,3694.613318,139,Shopee < CPT
PH,Fashion,Cross Border,8905655754,354363864,3458839401,2387784025,26.70496082,1511,1380,3738.512654,140,Shopee > CPT
ID,Fashion,Mall,4404378662,1527758916,117690349,4574024250,23.45902494,363157,337960,2627.407642,112,Shopee > CPT
TH,Electronics,Non-Mall,438421365,5412944814,4935811491,6308277132,2.15336725,78,85,348.4576487,163,Shopee < CPT
ID,FMCG,Cross Border,3255697899,3356156549,727403387,9523211027,189.0312763,2926298,3050802,14933.46739,79,Shopee < CPT
PH,Fashion,Long Tail (LT),1354062763,4049681057,4373504848,4253342047,172.4062759,9755,11170,17929.45002,104,Shopee < CPT
ID,Fashion,Long Tail (LT),6655345012,3019561337,8263811431,7189084615,2.443250855,37822,30359,466.6517231,191,Shopee > CPT
MY,Electronics,Long Tail (LT),7584665006,8400983076,347734771,7516339753,16.7227554,78,73,1065.130421,64,Shopee > CPT
ID,Lifestyle,Long Tail (LT),9452386662,8926379516,8871514582,7457565979,104.9304703,1624376,1808708,15844.4996,151,Shopee < CPT
ID,Electronics,Non-Mall,4632098809,8216211284,3166030474,8003792767,135.9561006,2104668,1833080,23248.48861,171,Shopee > CPT
ID,Lifestyle,Non-Mall,5677479286,1169000224,8653094053,8420482655,31.10979792,481595,386415,3670.954427,118,Shopee > CPT
VN,Fashion,Cross Border,2510050067,6057939563,6749634389,1850430380,2.886670656,70225,82098,404.1311273,140,Shopee < CPT
ID,Electronics,Cross Border,594356619,8801915303,3551843886,9355816814,24.24875966,375382,308065,654.7148994,27,Shopee > CPT
TH,Fashion,Non-Mall,4971217016,3783846320,3437721893,4886982490,39.83621308,1453,1184,1154.865498,29,Shopee > CPT
VN,FMCG,Non-Mall,2408896687,4840036038,1640900635,8475087370,80.41539598,1956305,1805379,13429.36738,167,Shopee > CPT
TH,FMCG,Non-Mall,3367432766,3041087216,4031931149,7203722366,60.15761422,2194,2479,2405.273183,40,Shopee < CPT
TH,FMCG,Long Tail (LT),5415428864,1714645141,525981110,3024049014,64.12670699,2339,2201,7436.284653,116,Shopee > CPT
VN,Electronics,Long Tail (LT),2946110380,47233137,2788398410,8995264004,140.8219963,3425847,3359869,13096.44522,93,Shopee > CPT
ID,Lifestyle,Long Tail (LT),5627409844,2607109128,4538421468,1118740953,18.6565105,288812,318359,3600.705145,193,Shopee < CPT
PH,FMCG,Cross Border,7177121972,4289644595,5755483045,5799135357,119.5573958,6765,8024,7173.40591,60,Shopee < CPT
SG,Fashion,Long Tail (LT),2203277088,2606057535,7874595333,179454343,34.98176857,47,50,6625.307441,192,Shopee < CPT
SG,Lifestyle,Cross Border,8410104074,1449481491,3397055076,6872855528,155.9287292,212,252,19300.31937,124,Shopee < CPT
TH,Electronics,Non-Mall,9146379799,707288523,3454003575,6664242491,124.5289576,4543,4777,2739.259726,22,Shopee < CPT
SG,Electronics,Mall,6144551034,1880604534,5663708034,1543606057,6.207860907,8,8,505.1209574,86,Shopee = CPT
MY,Fashion,Mall,9769869180,2783517930,5179592347,4956259789,46.40060678,217,204,2222.43559,48,Shopee > CPT
ID,Electronics,Cross Border,6096489606,8411860216,1188846765,194309307,221.0131486,3421394,3961850,11934.70986,54,Shopee < CPT
SG,Lifestyle,Cross Border,3743966243,3560830098,7679614202,9461791627,130.87937,178,187,10585.51448,81,Shopee < CPT
TH,Lifestyle,Cross Border,8489868340,6689372310,6985890188,6434454130,51.83292355,1891,1587,3731.571951,72,Shopee > CPT
TH,Electronics,Cross Border,2686100932,4899123458,1211308658,6245934170,87.4093806,3189,3563,10925.27373,125,Shopee < CPT
PH,Electronics,Mall,5293086515,360428979,1580641070,6789049115,85.87590446,4859,4657,11592.76474,135,Shopee > CPT
MY,Fashion,Long Tail (LT),4247228473,9115085378,5964789800,7669295198,11.21314606,52,52,1364.698352,123,Shopee = CPT
ID,Fashion,Cross Border,6947711129,4280570953,1884271320,2801595935,30.24724805,468242,477120,4718.565421,156,Shopee < CPT
ID,Electronics,Non-Mall,7554609122,1319568746,4803999981,2571927078,174.6269162,2703311,2831515,21479.10294,123,Shopee < CPT
TH,Fashion,Long Tail (LT),6264899981,5789991536,2033717489,6195146747,125.8432216,4591,4308,22900.57967,182,Shopee > CPT
ID,Electronics,Long Tail (LT),288222440,8659282175,3834866720,3441270137,1.044545035,16170,15206,193.2398824,185,Shopee > CPT
PH,Fashion,Long Tail (LT),3144256578,5675069319,3915107320,1108811986,78.51769841,4442,4920,13659.47971,174,Shopee < CPT
ID,FMCG,Non-Mall,2221704428,7629266149,7944589607,1841774238,379.0268553,5867525,6888563,67845.8044,179,Shopee < CPT
VN,FMCG,Long Tail (LT),9429816638,2457723173,2941017974,3396206491,145.6470336,3543228,3101569,12525.64415,86,Shopee > CPT
SG,Lifestyle,Cross Border,3907453084,2212778670,2487248215,1098903651,235.0348878,320,324,12686.75893,54,Shopee < CPT
ID,Electronics,Non-Mall,169964500,1422490867,5953944192,7539225755,11.49422961,177936,147877,1321.833274,115,Shopee > CPT
ID,Fashion,Long Tail (LT),6518817226,5245302171,1007839821,6024483146,20.35896963,315167,356360,2239.486451,110,Shopee < CPT
TH,Lifestyle,Long Tail (LT),684859471,613266256,8737679303,8428427246,150.3657525,5486,5330,9171.775862,61,Shopee > CPT
TH,Fashion,Long Tail (LT),8400734187,6106969862,2738911397,9330159952,45.17989621,1648,1721,90.33478136,2,Shopee < CPT
ID,Electronics,Cross Border,8840269462,1754171912,9677947662,1654607181,67.43194592,1043880,861324,1281.206679,19,Shopee > CPT
ID,Fashion,Long Tail (LT),1375799825,8421629474,7541820733,2568688729,72.20907095,1117832,970118,11842.2821,164,Shopee > CPT
MY,Lifestyle,Mall,7735605170,3549049536,547413448,140624476,118.1045849,553,573,6017.602816,51,Shopee < CPT
ID,Electronics,Long Tail (LT),588722118,8961098821,2000314731,1017650758,168.57195,2609578,2920841,15677.19092,93,Shopee < CPT
ID,FMCG,Long Tail (LT),5372790635,6499729696,403201567,2045065095,125.3965043,1941200,1975122,10909.49259,87,Shopee < CPT
TH,Lifestyle,Long Tail (LT),2962890085,1281232203,40745411,207148247,9.203124428,335,301,679.429378,74,Shopee > CPT
TH,Lifestyle,Mall,7798938234,2694036470,163618679,9548183655,204.2844392,7453,7343,30844.36709,151,Shopee > CPT
TH,Lifestyle,Mall,3034080178,5894813756,8315315824,903314851,230.052275,8393,6932,15872.08968,69,Shopee > CPT
ID,FMCG,Cross Border,9508468766,5921114446,2842462508,7075145819,11.35279348,175746,158944,1089.862472,96,Shopee > CPT
VN,Fashion,Cross Border,9895081308,9938822920,8737947828,6685722667,306.767321,7462882,7326987,51843.67724,169,Shopee > CPT
ID,Electronics,Cross Border,6629401992,8976058638,2712943938,1942632533,193.0717787,2988847,3460362,16797.24098,87,Shopee < CPT
TH,FMCG,Non-Mall,3639444127,8525375955,3133667135,6972779992,147.6649596,5387,4556,28642.86791,194,Shopee > CPT
ID,Electronics,Mall,2465361265,7651216565,9178942209,8584310394,5.04854465,78153,91228,787.562934,156,Shopee < CPT
SG,Lifestyle,Long Tail (LT),4472111697,3262960662,2609985684,9910068316,267.7659415,364,416,11224.25755,42,Shopee < CPT
ID,Fashion,Mall,2461977236,8242351176,1960349528,7201715901,50.08159975,775288,791606,1051.713317,21,Shopee < CPT
MY,Fashion,Mall,7530059211,65015438,3672105056,6178610006,45.24793309,212,197,5066.197258,112,Shopee > CPT
ID,Electronics,Long Tail (LT),3537658136,5519803765,744263282,8714214617,140.2000055,2170366,2350416,9393.399567,67,Shopee < CPT
SG,FMCG,Mall,3429226309,3375308387,5503545153,2020844336,39.36178756,53,44,2529.275724,65,Shopee > CPT
ID,Electronics,Cross Border,6169204852,6154849156,7888536963,4590560277,236.8191535,3666078,4308292,6867.753755,29,Shopee < CPT
SG,Fashion,Non-Mall,158156475,663999949,6472003911,8920465681,112.925362,153,142,22353.80493,199,Shopee > CPT
MY,Fashion,Mall,2638805905,3207769482,8543813567,3912168267,121.0296135,567,529,5807.009121,48,Shopee > CPT
PH,Electronics,Mall,9738325879,3596074419,580037443,7988314942,1.579999868,89,71,290.9833168,185,Shopee > CPT
